Localidade;Promotoria de Justiça Pertencente;Area Regional;POPULAÇÃO POR MUNICÍPIO
ADAMANTINA;ADAMANTINA;PRESIDENTE PRUDENTE;33.797
MARIÁPOLIS;ADAMANTINA;PRESIDENTE PRUDENTE;3.916
AGUAÍ;AGUAÍ;CAMPINAS;32.148
ÁGUAS DE LINDÓIA;ÁGUAS DE LINDÓIA;CAMPINAS;17.266
LINDÓIA;ÁGUAS DE LINDÓIA;CAMPINAS;6.712
AGUDOS;AGUDOS;BAURU;34.524
PAULISTÂNIA;AGUDOS;BAURU;1.779
ALTINÓPOLIS;ALTINÓPOLIS;FRANCA;15.607
SANTO ANTôNIO DA ALEGRIA;ALTINÓPOLIS;FRANCA;6.304
AMERICANA;AMERICANA;PIRACICABA;210.638
AMÉRICO BRASILIENSE;AMÉRICO BRASILIENSE;RIBEIRÃO PRETO;34.478
MOTUCA;AMÉRICO BRASILIENSE;RIBEIRÃO PRETO;4.290
RINCÃO;AMÉRICO BRASILIENSE;RIBEIRÃO PRETO;10.414
SANTA LÚCIA;AMÉRICO BRASILIENSE;RIBEIRÃO PRETO;8.248
AMPARO;AMPARO;CAMPINAS;65.829
MONTE ALEGRE DO SUL;AMPARO;CAMPINAS;7.152
ANDRADINA;ANDRADINA;ARAÇATUBA;55.334
CASTILHO;ANDRADINA;ARAÇATUBA;18.003
MURUTINGA DO SUL;ANDRADINA;ARAÇATUBA;4.186
NOVA INDEPENDÊNCIA;ANDRADINA;ARAÇATUBA;3.068
ANGATUBA;ANGATUBA;SOROCABA;22.210
CAMPINA DO MONTE ALEGRE;ANGATUBA;SOROCABA;5.567
APARECIDA;APARECIDA;TAUBATÉ;35.007
POTIM;APARECIDA;TAUBATÉ;19.397
APIAÍ;APIAÍ;SOROCABA;25.191
BARRA DO CHAPÉU;APIAÍ;SOROCABA;5.244
ITAÓCA;APIAÍ;SOROCABA;3.228
ITAPIRAPUÃ PAULISTA;APIAÍ;SOROCABA;3.880
RIBEIRA;APIAÍ;SOROCABA;3.358
ARAÇATUBA;ARAÇATUBA;ARAÇATUBA;181.579
SANTO ANTôNIO DO ARACANGUÁ;ARAÇATUBA;ARAÇATUBA;7.626
ARARAQUARA;ARARAQUARA;RIBEIRÃO PRETO;208.662
GAVIÃO PEIXOTO;ARARAQUARA;RIBEIRÃO PRETO;4.419
NOVA EUROPA;ARARAQUARA;RIBEIRÃO PRETO;9.300
ARARAS;ARARAS;PIRACICABA;118.843
ARTUR NOGUEIRA;ARTUR NOGUEIRA;CAMPINAS;44.177
ENGENHEIRO COELHO;ARTUR NOGUEIRA;CAMPINAS;15.721
HOLAMBRA;ARTUR NOGUEIRA;CAMPINAS;11.299
ARUJÁ;ARUJÁ;GRANDE SÃO PAULO;74.905
ASSIS;ASSIS;PRESIDENTE PRUDENTE;95.144
ECHAPORÃ;ASSIS;PRESIDENTE PRUDENTE;6.318
FLORÍNIA;ASSIS;PRESIDENTE PRUDENTE;2.829
TARUMÃ;ASSIS;PRESIDENTE PRUDENTE;12.885
ATIBAIA;ATIBAIA;CAMPINAS;126.603
AURIFLAMA;AURIFLAMA;SÃO JOSÉ DO RIO PRETO;14.202
GUZOLÂNDIA;AURIFLAMA;SÃO JOSÉ DO RIO PRETO;4.754
ARANDU;AVARÉ;BAURU;6.123
AVARÉ;AVARÉ;BAURU;82.934
ARAPEÍ;BANANAL;TAUBATÉ;2.493
BANANAL;BANANAL;TAUBATÉ;10.223
SÃO JOSÉ DO BARREIRO;BANANAL;TAUBATÉ;4.077
BARIRI;BARIRI;BAURU;31.593
ITAJU;BARIRI;BAURU;3.246
BARRA BONITA;BARRA BONITA;BAURU;35.246
IGARAÇU DO TIETÊ;BARRA BONITA;BAURU;23.362
BARRETOS;BARRETOS;SÃO JOSÉ DO RIO PRETO;112.101
COLÔMBIA;BARRETOS;SÃO JOSÉ DO RIO PRETO;5.994
BARUERI;BARUERI;GRANDE SÃO PAULO;240.749
PIRAPORA DO BOM JESUS;BARUERI;GRANDE SÃO PAULO;15.733
BASTOS;BASTOS;PRESIDENTE PRUDENTE;20.445
IACRI;BASTOS;PRESIDENTE PRUDENTE;6.419
BATATAIS;BATATAIS;FRANCA;56.476
AREALVA;BAURU;BAURU;7.841
AVAÍ;BAURU;BAURU;4.959
BAURU;BAURU;BAURU;343.937
BEBEDOURO;BEBEDOURO;RIBEIRÃO PRETO;75.035
BERTIOGA;BERTIOGA;SANTOS;47.645
BILAC;BILAC;ARAÇATUBA;7.048
GABRIEL MONTEIRO;BILAC;ARAÇATUBA;2.708
PIACATU;BILAC;ARAÇATUBA;5.287
BIRIGUI;BIRIGUI;ARAÇATUBA;108.728
BREJO ALEGRE;BIRIGUI;ARAÇATUBA;2.573
CLEMENTINA;BIRIGUI;ARAÇATUBA;7.065
